value	lower	upper	time
737706	278388	2052590	0
737706	278388	2052590	1002.00400801603
738882	283331	2052590	2004.00801603206
750472	295778	2054070	3006.0120240481
774030	323351	2064960	4008.01603206413
806780	354911	2080850	5010.02004008016
838209	380770	2100790	6012.02404809619
862507	391515	2118670	7014.02805611222
873282	386078	2133340	8016.03206412826
871737	373590	2142340	9018.03607214429
861819	358102	2134390	10020.0400801603
847428	343283	2115810	11022.0440881764
833164	335793	2083920	12024.0480961924
818486	325389	2055380	13026.0521042084
807342	310967	2019100	14028.0561122244
797510	287115	1994850	15030.0601202405
789838	258915	1969000	16032.0641282565
778658	229025	1936950	17034.0681362725
766191	201934	1925080	18036.0721442886
748873	187990	1910210	19038.0761523046
720456	175104	1887430	20040.0801603206
678420	162766	1873540	21042.0841683367
634026	155367	1862230	22044.0881763527
584984	150503	1843520	23046.0921843687
534015	147719	1801670	24048.0961923848
496167	144982	1777550	25050.1002004008
467344	144431	1746580	26052.1042084168
442242	146536	1684220	27054.1082164329
428180	146131	1634430	28056.1122244489
419866	149149	1583800	29058.1162324649
413963	151466	1536630	30060.120240481
411563	154184	1470660	31062.124248497
412231	157917	1406370	32064.128256513
415618	163363	1357880	33066.1322645291
420997	167550	1333150	34068.1362725451
428761	171803	1302190	35070.1402805611
437306	175643	1280120	36072.1442885772
447764	181399	1246570	37074.1482965932
458159	187085	1243240	38076.1523046092
470518	192143	1245960	39078.1563126253
480491	199538	1244620	40080.1603206413
491836	203837	1263800	41082.1643286573
504764	211296	1285030	42084.1683366733
513489	217715	1298900	43086.1723446894
523551	225595	1313620	44088.1763527054
533567	229653	1339910	45090.1803607214
542475	235324	1350570	46092.1843687375
551572	239606	1360860	47094.1883767535
558151	242881	1374620	48096.1923847695
566111	247597	1388400	49098.1963927856
570940	250931	1409140	50100.2004008016
575321	253396	1422980	51102.2044088176
580468	255462	1432120	52104.2084168337
584512	257567	1442270	53106.2124248497
588307	259669	1447810	54108.2164328657
589541	261823	1452660	55110.2204408818
590257	263000	1458710	56112.2244488978
591922	264728	1463090	57114.2284569138
592611	264441	1468520	58116.2324649299
593245	264295	1473950	59118.2364729459
595876	265566	1483490	60120.2404809619
595522	265770	1488300	61122.244488978
596135	266550	1491380	62124.248496994
595380	268613	1489200	63126.25250501
595359	268165	1490970	64128.2565130261
595462	269159	1490620	65130.2605210421
595318	269476	1493940	66132.2645290581
594870	270346	1489200	67134.2685370742
