value	lower	upper	time
596078	354106	1159360	0
596078	354106	1159360	1002.00400801603
596078	354106	1159360	2004.00801603206
596078	354106	1159360	3006.0120240481
596078	354106	1159360	4008.01603206413
596078	354106	1159360	5010.02004008016
596078	354106	1159360	6012.02404809619
596078	354106	1159360	7014.02805611222
596078	354106	1159360	8016.03206412826
596078	354106	1159360	9018.03607214429
585407	350049	1060160	10020.0400801603
585407	350049	1060160	11022.0440881764
585407	350049	1060160	12024.0480961924
585407	350049	1060160	13026.0521042084
585407	350049	1060160	14028.0561122244
585407	350049	1060160	15030.0601202405
585407	350049	1060160	16032.0641282565
585407	350049	1060160	17034.0681362725
585407	350049	1060160	18036.0721442886
585407	350049	1060160	19038.0761523046
568945	334295	977942	20040.0801603206
568945	334295	977942	21042.0841683367
568945	334295	977942	22044.0881763527
568945	334295	977942	23046.0921843687
568945	334295	977942	24048.0961923848
568945	334295	977942	25050.1002004008
568945	334295	977942	26052.1042084168
568945	334295	977942	27054.1082164329
568945	334295	977942	28056.1122244489
568945	334295	977942	29058.1162324649
563142	330012	944327	30060.120240481
563142	330012	944327	31062.124248497
563142	330012	944327	32064.128256513
563142	330012	944327	33066.1322645291
563142	330012	944327	34068.1362725451
563142	330012	944327	35070.1402805611
563142	330012	944327	36072.1442885772
563142	330012	944327	37074.1482965932
563142	330012	944327	38076.1523046092
563142	330012	944327	39078.1563126253
563642	333432	949793	40080.1603206413
563642	333432	949793	41082.1643286573
563642	333432	949793	42084.1683366733
563642	333432	949793	43086.1723446894
563642	333432	949793	44088.1763527054
563642	333432	949793	45090.1803607214
563642	333432	949793	46092.1843687375
563642	333432	949793	47094.1883767535
563642	333432	949793	48096.1923847695
563642	333432	949793	49098.1963927856
566339	333787	989404	50100.2004008016
566339	333787	989404	51102.2044088176
566339	333787	989404	52104.2084168337
566339	333787	989404	53106.2124248497
566339	333787	989404	54108.2164328657
566339	333787	989404	55110.2204408818
566339	333787	989404	56112.2244488978
566339	333787	989404	57114.2284569138
566339	333787	989404	58116.2324649299
566339	333787	989404	59118.2364729459
566136	329476	1023940	60120.2404809619
566136	329476	1023940	61122.244488978
566136	329476	1023940	62124.248496994
566136	329476	1023940	63126.25250501
566136	329476	1023940	64128.2565130261
566136	329476	1023940	65130.2605210421
566136	329476	1023940	66132.2645290581
566136	329476	1023940	67134.2685370742
566136	329476	1023940	68136.2725450902
566136	329476	1023940	69138.2765531062
564606	326238	1043220	70140.2805611222
564606	326238	1043220	71142.2845691383
564606	326238	1043220	72144.2885771543
564606	326238	1043220	73146.2925851703
564606	326238	1043220	74148.2965931864
564606	326238	1043220	75150.3006012024
564606	326238	1043220	76152.3046092184
564606	326238	1043220	77154.3086172345
564606	326238	1043220	78156.3126252505
564606	326238	1043220	79158.3166332665
562095	316557	1048880	80160.3206412826
562095	316557	1048880	81162.3246492986
562095	316557	1048880	82164.3286573146
562095	316557	1048880	83166.3326653307
562095	316557	1048880	84168.3366733467
562095	316557	1048880	85170.3406813627
562095	316557	1048880	86172.3446893788
562095	316557	1048880	87174.3486973948
562095	316557	1048880	88176.3527054108
562095	316557	1048880	89178.3567134269
558788	309369	1044530	90180.3607214429
558788	309369	1044530	91182.3647294589
558788	309369	1044530	92184.368737475
558788	309369	1044530	93186.372745491
558788	309369	1044530	94188.376753507
558788	309369	1044530	95190.380761523
558788	309369	1044530	96192.3847695391
558788	309369	1044530	97194.3887775551
558788	309369	1044530	98196.3927855712
558788	309369	1044530	99198.3967935872
552545	295980	1050200	100200.400801603
552545	295980	1050200	101202.404809619
552545	295980	1050200	102204.408817635
552545	295980	1050200	103206.412825651
552545	295980	1050200	104208.416833667
552545	295980	1050200	105210.420841683
552545	295980	1050200	106212.424849699
552545	295980	1050200	107214.428857715
552545	295980	1050200	108216.432865731
552545	295980	1050200	109218.436873748
547440	284173	1029010	110220.440881764
547440	284173	1029010	111222.44488978
547440	284173	1029010	112224.448897796
547440	284173	1029010	113226.452905812
547440	284173	1029010	114228.456913828
547440	284173	1029010	115230.460921844
547440	284173	1029010	116232.46492986
547440	284173	1029010	117234.468937876
547440	284173	1029010	118236.472945892
547440	284173	1029010	119238.476953908
540964	266868	1012750	120240.480961924
540964	266868	1012750	121242.48496994
540964	266868	1012750	122244.488977956
540964	266868	1012750	123246.492985972
540964	266868	1012750	124248.496993988
540964	266868	1012750	125250.501002004
540964	266868	1012750	126252.50501002
540964	266868	1012750	127254.509018036
540964	266868	1012750	128256.513026052
540964	266868	1012750	129258.517034068
535902	247366	985899	130260.521042084
535902	247366	985899	131262.5250501
535902	247366	985899	132264.529058116
535902	247366	985899	133266.533066132
535902	247366	985899	134268.537074148
535902	247366	985899	135270.541082164
535902	247366	985899	136272.54509018
535902	247366	985899	137274.549098196
535902	247366	985899	138276.553106212
535902	247366	985899	139278.557114228
530404	231869	971806	140280.561122244
530404	231869	971806	141282.565130261
530404	231869	971806	142284.569138277
530404	231869	971806	143286.573146293
530404	231869	971806	144288.577154309
530404	231869	971806	145290.581162325
530404	231869	971806	146292.585170341
530404	231869	971806	147294.589178357
530404	231869	971806	148296.593186373
530404	231869	971806	149298.597194389
525655	214206	948808	150300.601202405
525655	214206	948808	151302.605210421
525655	214206	948808	152304.609218437
525655	214206	948808	153306.613226453
525655	214206	948808	154308.617234469
525655	214206	948808	155310.621242485
525655	214206	948808	156312.625250501
525655	214206	948808	157314.629258517
525655	214206	948808	158316.633266533
525655	214206	948808	159318.637274549
520044	196074	934251	160320.641282565
520044	196074	934251	161322.645290581
520044	196074	934251	162324.649298597
520044	196074	934251	163326.653306613
520044	196074	934251	164328.657314629
520044	196074	934251	165330.661322645
520044	196074	934251	166332.665330661
520044	196074	934251	167334.669338677
520044	196074	934251	168336.673346693
520044	196074	934251	169338.677354709
513656	182725	923150	170340.681362725
513656	182725	923150	171342.685370741
513656	182725	923150	172344.689378758
513656	182725	923150	173346.693386774
513656	182725	923150	174348.69739479
513656	182725	923150	175350.701402806
513656	182725	923150	176352.705410822
513656	182725	923150	177354.709418838
513656	182725	923150	178356.713426854
513656	182725	923150	179358.71743487
508370	166952	914898	180360.721442886
508370	166952	914898	181362.725450902
508370	166952	914898	182364.729458918
508370	166952	914898	183366.733466934
508370	166952	914898	184368.73747495
508370	166952	914898	185370.741482966
508370	166952	914898	186372.745490982
508370	166952	914898	187374.749498998
508370	166952	914898	188376.753507014
508370	166952	914898	189378.75751503
503126	150720	904919	190380.761523046
503126	150720	904919	191382.765531062
503126	150720	904919	192384.769539078
503126	150720	904919	193386.773547094
503126	150720	904919	194388.77755511
503126	150720	904919	195390.781563126
503126	150720	904919	196392.785571142
503126	150720	904919	197394.789579158
503126	150720	904919	198396.793587174
503126	150720	904919	199398.79759519
498871	140069	901872	200400.801603206
498871	140069	901872	201402.805611222
498871	140069	901872	202404.809619238
498871	140069	901872	203406.813627255
498871	140069	901872	204408.817635271
498871	140069	901872	205410.821643287
498871	140069	901872	206412.825651303
498871	140069	901872	207414.829659319
498871	140069	901872	208416.833667335
498871	140069	901872	209418.837675351
495081	131920	893944	210420.841683367
495081	131920	893944	211422.845691383
495081	131920	893944	212424.849699399
495081	131920	893944	213426.853707415
495081	131920	893944	214428.857715431
495081	131920	893944	215430.861723447
495081	131920	893944	216432.865731463
495081	131920	893944	217434.869739479
495081	131920	893944	218436.873747495
495081	131920	893944	219438.877755511
491868	123940	892993	220440.881763527
491868	123940	892993	221442.885771543
491868	123940	892993	222444.889779559
491868	123940	892993	223446.893787575
491868	123940	892993	224448.897795591
491868	123940	892993	225450.901803607
491868	123940	892993	226452.905811623
491868	123940	892993	227454.909819639
491868	123940	892993	228456.913827655
491868	123940	892993	229458.917835671
489221	112616	888118	230460.921843687
489221	112616	888118	231462.925851703
489221	112616	888118	232464.929859719
489221	112616	888118	233466.933867735
489221	112616	888118	234468.937875752
489221	112616	888118	235470.941883768
489221	112616	888118	236472.945891784
489221	112616	888118	237474.9498998
489221	112616	888118	238476.953907816
489221	112616	888118	239478.957915832
488111	105199	885240	240480.961923848
488111	105199	885240	241482.965931864
488111	105199	885240	242484.96993988
488111	105199	885240	243486.973947896
488111	105199	885240	244488.977955912
488111	105199	885240	245490.981963928
488111	105199	885240	246492.985971944
488111	105199	885240	247494.98997996
488111	105199	885240	248496.993987976
488111	105199	885240	249498.997995992
486024	97450.8	882458	250501.002004008
486024	97450.8	882458	251503.006012024
486024	97450.8	882458	252505.01002004
486024	97450.8	882458	253507.014028056
486024	97450.8	882458	254509.018036072
486024	97450.8	882458	255511.022044088
486024	97450.8	882458	256513.026052104
486024	97450.8	882458	257515.03006012
486024	97450.8	882458	258517.034068136
486024	97450.8	882458	259519.038076152
484393	93506.5	880718	260521.042084168
484393	93506.5	880718	261523.046092184
484393	93506.5	880718	262525.0501002
484393	93506.5	880718	263527.054108216
484393	93506.5	880718	264529.058116232
484393	93506.5	880718	265531.062124249
484393	93506.5	880718	266533.066132265
484393	93506.5	880718	267535.070140281
484393	93506.5	880718	268537.074148297
484393	93506.5	880718	269539.078156313
483520	87574.9	883867	270541.082164329
483520	87574.9	883867	271543.086172345
483520	87574.9	883867	272545.090180361
483520	87574.9	883867	273547.094188377
483520	87574.9	883867	274549.098196393
